,numbers_of_neurons_on_first_convolutional_layer,number_of_neurons_on_second_convolutional_layer,number_of_neurons_on_hidden_layer,number_of_neurons_on_exit_layer,activation_function_of_first_convolutional_layer,activation_function_of_second_convolutional_layer,activation_function_of_first_hidden_layer,activation_function_of_exit_layer,lose_verify_function,optimizator_type,metric,training_quota,epochs,amostras,use_hard_test_data_to_validate_model,images_folder_path,result_metric,result_loss
90,9,9,64,10,tanh,tanh,tanh,softmax,categorical_crossentropy,sgd,accuracy,0.9,26,2048,True,./RN/,0.8583333492279053,0.7030026316642761
63,9,9,64,10,tanh,sigmoid,sigmoid,softmax,categorical_hinge,nadam,accuracy,0.9,26,2048,True,./RN/,0.8473333120346069,0.4471971094608307
13,9,9,64,10,relu,sigmoid,sigmoid,softmax,categorical_hinge,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.8411666750907898,0.6608114242553711
85,9,9,64,10,tanh,tanh,sigmoid,softmax,categorical_hinge,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.8100000023841858,0.40524372458457947
74,9,9,64,10,tanh,tanh,relu,softmax,categorical_crossentropy,sgd,accuracy,0.9,26,2048,True,./RN/,0.7985000014305115,1.0321738719940186
26,9,9,64,10,relu,tanh,relu,softmax,categorical_crossentropy,sgd,accuracy,0.9,26,2048,True,./RN/,0.7606666684150696,1.1238601207733154
60,9,9,64,10,tanh,sigmoid,sigmoid,softmax,categorical_hinge,adam,accuracy,0.9,26,2048,True,./RN/,0.706166684627533,0.6092944741249084
37,9,9,64,10,relu,tanh,sigmoid,softmax,categorical_hinge,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.656000018119812,0.5998027920722961
34,9,9,64,10,relu,tanh,sigmoid,softmax,categorical_crossentropy,sgd,accuracy,0.9,26,2048,True,./RN/,0.5161666870117188,2.123067617416382
46,9,9,64,10,relu,tanh,tanh,softmax,categorical_hinge,sgd,accuracy,0.9,26,2048,True,./RN/,0.49533334374427795,1.0000267028808594
66,9,9,64,10,tanh,sigmoid,tanh,softmax,categorical_crossentropy,sgd,accuracy,0.9,26,2048,True,./RN/,0.48899999260902405,2.116319417953491
87,9,9,64,10,tanh,tanh,sigmoid,softmax,categorical_hinge,nadam,accuracy,0.9,26,2048,True,./RN/,0.4886666536331177,0.788951575756073
15,9,9,64,10,relu,sigmoid,sigmoid,softmax,categorical_hinge,nadam,accuracy,0.9,26,2048,True,./RN/,0.47566667199134827,0.7188239693641663
94,9,9,64,10,tanh,tanh,tanh,softmax,categorical_hinge,sgd,accuracy,0.9,26,2048,True,./RN/,0.4661666750907898,0.9989354014396667
82,9,9,64,10,tanh,tanh,sigmoid,softmax,categorical_crossentropy,sgd,accuracy,0.9,26,2048,True,./RN/,0.4441666603088379,2.141969680786133
39,9,9,64,10,relu,tanh,sigmoid,softmax,categorical_hinge,nadam,accuracy,0.9,26,2048,True,./RN/,0.40183332562446594,0.7523899078369141
30,9,9,64,10,relu,tanh,relu,softmax,categorical_hinge,sgd,accuracy,0.9,26,2048,True,./RN/,0.33149999380111694,1.0011218786239624
70,9,9,64,10,tanh,sigmoid,tanh,softmax,categorical_hinge,sgd,accuracy,0.9,26,2048,True,./RN/,0.3034999966621399,1.0009307861328125
78,9,9,64,10,tanh,tanh,relu,softmax,categorical_hinge,sgd,accuracy,0.9,26,2048,True,./RN/,0.2841666638851166,1.001802682876587
36,9,9,64,10,relu,tanh,sigmoid,softmax,categorical_hinge,adam,accuracy,0.9,26,2048,True,./RN/,0.2838333249092102,0.9269306063652039
18,9,9,64,10,relu,sigmoid,tanh,softmax,categorical_crossentropy,sgd,accuracy,0.9,26,2048,True,./RN/,0.257999986410141,2.2682878971099854
54,9,9,64,10,tanh,sigmoid,relu,softmax,categorical_hinge,sgd,accuracy,0.9,26,2048,True,./RN/,0.24683333933353424,1.0008139610290527
2,9,9,64,10,relu,sigmoid,relu,softmax,categorical_crossentropy,sgd,accuracy,0.9,26,2048,True,./RN/,0.24033333361148834,2.245096206665039
22,9,9,64,10,relu,sigmoid,tanh,softmax,categorical_hinge,sgd,accuracy,0.9,26,2048,True,./RN/,0.22849999368190765,1.0023624897003174
86,9,9,64,10,tanh,tanh,sigmoid,softmax,categorical_hinge,sgd,accuracy,0.9,26,2048,True,./RN/,0.2211666703224182,1.0021697282791138
50,9,9,64,10,tanh,sigmoid,relu,softmax,categorical_crossentropy,sgd,accuracy,0.9,26,2048,True,./RN/,0.1745000034570694,2.2459709644317627
38,9,9,64,10,relu,tanh,sigmoid,softmax,categorical_hinge,sgd,accuracy,0.9,26,2048,True,./RN/,0.14483332633972168,1.0078035593032837
6,9,9,64,10,relu,sigmoid,relu,softmax,categorical_hinge,sgd,accuracy,0.9,26,2048,True,./RN/,0.12800000607967377,1.0010285377502441
10,9,9,64,10,relu,sigmoid,sigmoid,softmax,categorical_crossentropy,sgd,accuracy,0.9,26,2048,True,./RN/,0.10499999672174454,2.2975480556488037
58,9,9,64,10,tanh,sigmoid,sigmoid,softmax,categorical_crossentropy,sgd,accuracy,0.9,26,2048,True,./RN/,0.10499999672174454,2.2995541095733643
14,9,9,64,10,relu,sigmoid,sigmoid,softmax,categorical_hinge,sgd,accuracy,0.9,26,2048,True,./RN/,0.09866666793823242,1.0004734992980957
62,9,9,64,10,tanh,sigmoid,sigmoid,softmax,categorical_hinge,sgd,accuracy,0.9,26,2048,True,./RN/,0.09516666829586029,1.0077248811721802
