,numbers_of_neurons_on_first_layer,number_of_neurons_on_second_layer,number_of_neurons_on_third_layer,number_of_neurons_on_exit_layer,activation_function_of_first_layer,activation_function_of_second_layer,activation_function_of_exit_layer,lose_verify_function,optimizator_type,metric,test_quota,epochs,amostras,use_hard_test_data_to_validate_model,images_folder_path,result_metric,result_loss,metric_name
57,397.0,397.0,397.0,10,tanh,tanh,softmax,binary_crossentropy,adagrad,accuracy,0.1,16,2048,True,./RN/,0.47049999237060547,0.30430182814598083,accuracy
58,397.0,397.0,397.0,10,tanh,tanh,softmax,binary_crossentropy,adagrad,mean_squared_error,0.1,16,2048,True,./RN/,0.08378887921571732,0.308825820684433,mean_squared_error
59,397.0,397.0,397.0,10,tanh,tanh,softmax,binary_crossentropy,adagrad,mean_absolute_error,0.1,16,2048,True,./RN/,0.17321670055389404,0.3117848038673401,mean_absolute_error
60,397.0,397.0,397.0,10,tanh,tanh,softmax,categorical_crossentropy,sgd,accuracy,0.1,16,2048,True,./RN/,0.878166675567627,0.45667973160743713,accuracy
61,397.0,397.0,397.0,10,tanh,tanh,softmax,categorical_crossentropy,sgd,mean_squared_error,0.1,16,2048,True,./RN/,0.01969188265502453,0.45312264561653137,mean_squared_error
62,397.0,397.0,397.0,10,tanh,tanh,softmax,categorical_crossentropy,sgd,mean_absolute_error,0.1,16,2048,True,./RN/,0.05349024385213852,0.4580199420452118,mean_absolute_error
63,397.0,397.0,397.0,10,tanh,tanh,softmax,categorical_crossentropy,adam,accuracy,0.1,16,2048,True,./RN/,0.9778333306312561,0.07510755211114883,accuracy
64,397.0,397.0,397.0,10,tanh,tanh,softmax,categorical_crossentropy,adam,mean_squared_error,0.1,16,2048,True,./RN/,0.0033158324658870697,0.07190833240747452,mean_squared_error
65,397.0,397.0,397.0,10,tanh,tanh,softmax,categorical_crossentropy,adam,mean_absolute_error,0.1,16,2048,True,./RN/,0.006599768530577421,0.07071983814239502,mean_absolute_error
66,397.0,397.0,397.0,10,tanh,tanh,softmax,categorical_crossentropy,rmsprop,accuracy,0.1,16,2048,True,./RN/,0.9691666960716248,0.09730619192123413,accuracy
67,397.0,397.0,397.0,10,tanh,tanh,softmax,categorical_crossentropy,rmsprop,mean_squared_error,0.1,16,2048,True,./RN/,0.003706672927364707,0.07979004085063934,mean_squared_error
68,397.0,397.0,397.0,10,tanh,tanh,softmax,categorical_crossentropy,rmsprop,mean_absolute_error,0.1,16,2048,True,./RN/,0.00735874380916357,0.07164841890335083,mean_absolute_error
69,397.0,397.0,397.0,10,tanh,tanh,softmax,categorical_crossentropy,adagrad,accuracy,0.1,16,2048,True,./RN/,0.8259999752044678,0.787931501865387,accuracy
70,397.0,397.0,397.0,10,tanh,tanh,softmax,categorical_crossentropy,adagrad,mean_squared_error,0.1,16,2048,True,./RN/,0.03531012311577797,0.8062098026275635,mean_squared_error
71,397.0,397.0,397.0,10,tanh,tanh,softmax,categorical_crossentropy,adagrad,mean_absolute_error,0.1,16,2048,True,./RN/,0.09462297707796097,0.7949860692024231,mean_absolute_error
